authors
J.K. Rowling/Mary GrandPré
J.K. Rowling
W. Frederick Zimmerman
Douglas Adams
Douglas Adams/Stephen Fry
Bill Bryson
J.R.R. Tolkien
J.R.R. Tolkien/Alan  Lee
Chris   Smith/Christopher  Lee/Richard Taylor
Jude Fisher
Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz
Gary Paulsen
""
Molly Hatchet
Dale Peck
Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati
Delia Sherman
Patricia A. McKillip
Zilpha Keatley Snyder
Kate Horsley
Philippa Carr
Edward P. Jones
Edward P. Jones/Kevin R. Free
Satyajit Das
Mark Smylie
John McPhee/William Howarth
John McPhee
Wendy Wasserstein
Heidi Hayes Jacobs
Heidi Boyd
Heidi Baker/Rolland Baker
Johanna Spyri/Beverly Cleary/Angelo  Rinaldi
Rolland Baker/Heidi Baker
Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome
Heidi Fleiss/Libby Keatinge
Frank Herbert
Brian Herbert
Frank Herbert/Brian Herbert/Kevin J. Anderson
Gary Russell
Bryce Courtenay
John C. Maxwell/Stephen R. Graves/Thomas G. Addington
Dave Lakhani
Louis E. Catron
Adam Ginsberg
Marsha Collier
Chris Malta/Lisa Suttora
Julia Wilkinson
Lucas Carlson/Leonard Richardson
Ruby Ann Boxcar
Rob Orsini
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky
Leo Tolstoy/David Magarshack/Priscilla Meyer
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley
Marianne Sturman/Leo Tolstoy
Leo Tolstoy/Amy Mandelker/Constance Garnett
Leo Tolstoy/Louise Maude/Aylmer Maude
Leo Tolstoy/Constance Garnett/Amy Mandelker
Gloria Goldreich
Anthony Thorlby
Mulk Raj Anand/E.M. Forster
John Banville
Eliot Ness/Oscar Fraley
Narendra Jadhav
V.T. Rajshekar/Y.N. Kly
Vasant Moon/Gail Omvedt/Eleanor Zelliot
Barry R. Cournoyer
George Smoot/Keay Davidson
Madeleine L'Engle
Tara MacCarthy
Cynthia Harrod-Eagles
Charles Todd
Ewan McGregor/Charley Boorman/Robert Uhlig
Daniel Abraham
Charles Willeford/James Lee Burke
Charles Willeford/Lawrence Block
Charles Willeford/Elmore Leonard
Charles Willeford
Tom Wolfe
Edward Lear/Laura Huliska-Beith/Edward Mendelson
Quentin Blake
Henry Miller/Thomas H. Moore
Henry Miller
Henry Miller/Jiří Níl
Henry James/Patricia Crick
Henry James/Gabriel Brownstein/Mary Cregan
Marguerite Duras
Marguerite Duras/Barbara Bray
Marguerite Duras/Richard Seever
Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari
Jean Gibran/جبران خليل جبران/Kahlil Gibran
Kahlil Gibran/John Walbridge/Robin Waterfield
Kahlil Gibran/جبران خليل جبران
Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris
Robert Louis Stevenson
Robert Louis Stevenson/Scott McKowen
Robert Louis Stevenson/N.C. Wyeth/Timothy Meis
Robert Louis Stevenson/Milo Winter
Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson
Ralph Ginzburg
Gabriel García Márquez
Dr. Seuss
Debbie Raleigh
Kevin Henkes
Patrick Süskind
Robert A. Heinlein
Nick  Webb
Terry Jones
Douglas Adams/Christopher Cerf
Susan Nanus/Norton Juster
Harry G. Frankfurt
Nick Flynn
Garry Wills
Abraham Lincoln/Michael McCurdy
Don DeLillo
Thomas Pynchon
Thomas Pynchon/Christophe Claro/Brice Matthieussent
Richard Fariña/Thomas Pynchon
Joan Didion
Joan Didion/John Leonard
Joan Didion/David Thomson
Paul Auster/Art Spiegelman/Luc Sante
Paul Auster
Peter Moon/Preston B. Nichols/Nina Helms
Jared Diamond
Stephen Leeb/Glen C. Strathy
Joseph A. Tainter
Robert D. Putnam
Philip K. Howard
Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco
Nikola Tesla
Marc J.  Seifer/William H. Terbo
Carol Dommermuth-Costa
Nikola Tesla/David Hatcher Childress
Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye
Dave Thomas/Chad Fowler/Andy Hunt
Maureen Kelly/CliffsNotes/William Golding
William Golding
Victor Davis Hanson
Ephraim Sevela/Antonina W. Bouis
Alice Sebold
Sharyn McCrumb
Dave Shea/Molly E. Holzschlag
Elizabeth Castro
Michael Ochs/Patrick Javault/Ulrike Wasel
Chuck Klosterman
Jane Feather
Robert M. Pirsig
Kevin O'Malley/Carol Heyer/Scott Goto
Ronald L. DiSanto/Thomas J. Steele
John Harold Haynes
Catharine M. Fishel/Bill Gardner
Leo Tolstoy/Hugh McLean
Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude
Leo Tolstoy/Constance Garnett
Ayn Rand/Leonard Peikoff
Ayn Rand
Ayn Rand/Nathaniel Branden
Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen
Ayn Rand/Michael S. Berliner/Leonard Peikoff
J.J. Isler/Peter Isler
Colin  Wells
Billy Collins
Christopher Caswell
Bernard Malamud/Kevin Baker
Anne Tyler
Gary Colombo/Bonnie Lisle
Thomas E. Skidmore/Peter H. Smith
Philip Roth
Jon   Stewart
Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein
Gabriel García Márquez/Edith Grossman
Brian Greene
Upasika Kee Nanayon/Thanissaro Bhikkhu
Rob Humphreys/Beth Chaplin/Rebecca Morrill
Lonely Planet/Sarah Johnstone/Steve Fallon
Lonely Planet/Sarah Johnstone/Tom Masters
Lonely Planet/Mark Honan
H.G. Bissinger
Neal Stephenson
Neal Stephenson/J. Frederick George
Neal Stephenson/Pedro Jorge Romero
Neal Stephenson/George F. Jewsbury/Stephen  Bury
Neal Stephenson/Guy Abadia
Dan Harrington/Bill Robertie
Donald A. Norman
Alex C. Jones/Diane M. Hanson/Stephen K. Ray
Paulo Coelho/Alan R. Clarke/James Noel Smith
Paulo Coelho/Alan R. Clarke/Özdemir İnce
